"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CPNCU","Current prices in NCU","1990","1990","AUD","Australian Dollar","0","Units",,,33030.5377436447,,
"AUS","Australia","CPNCU","Current prices in NCU","1991","1991","AUD","Australian Dollar","0","Units",,,34096.7107839686,,
"AUS","Australia","CPNCU","Current prices in NCU","1992","1992","AUD","Australian Dollar","0","Units",,,35438.3515071197,,
"AUS","Australia","CPNCU","Current prices in NCU","1993","1993","AUD","Australian Dollar","0","Units",,,36516.2312424391,,
"AUS","Australia","CPNCU","Current prices in NCU","1994","1994","AUD","Australian Dollar","0","Units",,,37344.6801132069,,
"AUS","Australia","CPNCU","Current prices in NCU","1995","1995","AUD","Australian Dollar","0","Units",,,38243.74363984,,
"AUS","Australia","CPNCU","Current prices in NCU","1996","1996","AUD","Australian Dollar","0","Units",,,40124.9630079238,,
"AUS","Australia","CPNCU","Current prices in NCU","1997","1997","AUD","Australian Dollar","0","Units",,,41921.6114761882,,
"AUS","Australia","CPNCU","Current prices in NCU","1998","1998","AUD","Australian Dollar","0","Units",,,43097.8168392793,,
"AUS","Australia","CPNCU","Current prices in NCU","1999","1999","AUD","Australian Dollar","0","Units",,,44579.8865254664,,
"AUS","Australia","CPNCU","Current prices in NCU","2000","2000","AUD","Australian Dollar","0","Units",,,46246.8687311859,,
"AUS","Australia","CPNCU","Current prices in NCU","2001","2001","AUD","Australian Dollar","0","Units",,,48315.9823911002,,
"AUS","Australia","CPNCU","Current prices in NCU","2002","2002","AUD","Australian Dollar","0","Units",,,50052.7581021242,,
"AUS","Australia","CPNCU","Current prices in NCU","2003","2003","AUD","Australian Dollar","0","Units",,,51798.5866440082,,
"AUS","Australia","CPNCU","Current prices in NCU","2004","2004","AUD","Australian Dollar","0","Units",,,54199.4027107654,,
"AUS","Australia","CPNCU","Current prices in NCU","2005","2005","AUD","Australian Dollar","0","Units",,,56018.5198639837,,
"AUS","Australia","CPNCU","Current prices in NCU","2006","2006","AUD","Australian Dollar","0","Units",,,58402.6860990912,,
"AUS","Australia","CPNCU","Current prices in NCU","2007","2007","AUD","Australian Dollar","0","Units",,,61884.247201585,,
"AUS","Australia","CPNCU","Current prices in NCU","2008","2008","AUD","Australian Dollar","0","Units",,,64343.7466963003,,
"AUS","Australia","CPNCU","Current prices in NCU","2009","2009","AUD","Australian Dollar","0","Units",,,65362.2080339163,,
"AUS","Australia","CPNCU","Current prices in NCU","2010","2010","AUD","Australian Dollar","0","Units",,,69110.2746031737,,
"AUS","Australia","CPNCU","Current prices in NCU","2011","2011","AUD","Australian Dollar","0","Units",,,72978.5991874853,,
"AUS","Australia","CPNCU","Current prices in NCU","2012","2012","AUD","Australian Dollar","0","Units",,,75149.2632468591,,
"AUS","Australia","CPNCU","Current prices in NCU","2013","2013","AUD","Australian Dollar","0","Units",,,76598.3394072311,,
"AUS","Australia","CPNCU","Current prices in NCU","2014","2014","AUD","Australian Dollar","0","Units",,,78666.760266353,,
"AUS","Australia","CPNCU","Current prices in NCU","2015","2015","AUD","Australian Dollar","0","Units",,,79206.7993312876,,
"AUS","Australia","CPNCU","Current prices in NCU","2016","2016","AUD","Australian Dollar","0","Units",,,80054.6207296823,,
"AUS","Australia","CPNCU","Current prices in NCU","2017","2017","AUD","Australian Dollar","0","Units",,,80675.4970078862,,
"AUS","Australia","CPNCU","Current prices in NCU","2018","2018","AUD","Australian Dollar","0","Units",,,82187.7007110623,,
"AUS","Australia","CPNCU","Current prices in NCU","2019","2019","AUD","Australian Dollar","0","Units",,,84538.9408001655,,
"AUS","Australia","CPNCU","Current prices in NCU","2020","2020","AUD","Australian Dollar","0","Units",,,87379.0260559097,,
"AUS","Australia","CPNCU","Current prices in NCU","2021","2021","AUD","Australian Dollar","0","Units",,,88928.9043947396,,
"USA","United States","CPNCU","Current prices in NCU","1990","1990","USD","US Dollar","0","Units",,,26701.613888921,,
"USA","United States","CPNCU","Current prices in NCU","1991","1991","USD","US Dollar","0","Units",,,27781.8662814322,,
"USA","United States","CPNCU","Current prices in NCU","1992","1992","USD","US Dollar","0","Units",,,29183.5162678974,,
"USA","United States","CPNCU","Current prices in NCU","1993","1993","USD","US Dollar","0","Units",,,29741.8945732768,,
"USA","United States","CPNCU","Current prices in NCU","1994","1994","USD","US Dollar","0","Units",,,30246.4451434301,,
"USA","United States","CPNCU","Current prices in NCU","1995","1995","USD","US Dollar","0","Units",,,31058.3710625006,,
"USA","United States","CPNCU","Current prices in NCU","1996","1996","USD","US Dollar","0","Units",,,32186.163591658,,
"USA","United States","CPNCU","Current prices in NCU","1997","1997","USD","US Dollar","0","Units",,,33563.8855694204,,
"USA","United States","CPNCU","Current prices in NCU","1998","1998","USD","US Dollar","0","Units",,,35224.4939693084,,
"USA","United States","CPNCU","Current prices in NCU","1999","1999","USD","US Dollar","0","Units",,,36680.1571759459,,
"USA","United States","CPNCU","Current prices in NCU","2000","2000","USD","US Dollar","0","Units",,,38863.1734369024,,
"USA","United States","CPNCU","Current prices in NCU","2001","2001","USD","US Dollar","0","Units",,,39946.2515248753,,
"USA","United States","CPNCU","Current prices in NCU","2002","2002","USD","US Dollar","0","Units",,,40796.2054189913,,
"USA","United States","CPNCU","Current prices in NCU","2003","2003","USD","US Dollar","0","Units",,,42101.3885451974,,
"USA","United States","CPNCU","Current prices in NCU","2004","2004","USD","US Dollar","0","Units",,,43945.6918693246,,
"USA","United States","CPNCU","Current prices in NCU","2005","2005","USD","US Dollar","0","Units",,,45254.5806951947,,
"USA","United States","CPNCU","Current prices in NCU","2006","2006","USD","US Dollar","0","Units",,,47225.2942453853,,
"USA","United States","CPNCU","Current prices in NCU","2007","2007","USD","US Dollar","0","Units",,,49354.5599011117,,
"USA","United States","CPNCU","Current prices in NCU","2008","2008","USD","US Dollar","0","Units",,,50689.8560966851,,
"USA","United States","CPNCU","Current prices in NCU","2009","2009","USD","US Dollar","0","Units",,,51055.5431439294,,
"USA","United States","CPNCU","Current prices in NCU","2010","2010","USD","US Dollar","0","Units",,,52428.6121792848,,
"USA","United States","CPNCU","Current prices in NCU","2011","2011","USD","US Dollar","0","Units",,,53827.0390714325,,
"USA","United States","CPNCU","Current prices in NCU","2012","2012","USD","US Dollar","0","Units",,,55298.7564347835,,
"USA","United States","CPNCU","Current prices in NCU","2013","2013","USD","US Dollar","0","Units",,,55782.2261268243,,
"USA","United States","CPNCU","Current prices in NCU","2014","2014","USD","US Dollar","0","Units",,,57450.0506990298,,
"USA","United States","CPNCU","Current prices in NCU","2015","2015","USD","US Dollar","0","Units",,,59029.0848542524,,
"USA","United States","CPNCU","Current prices in NCU","2016","2016","USD","US Dollar","0","Units",,,59728.6987908703,,
"USA","United States","CPNCU","Current prices in NCU","2017","2017","USD","US Dollar","0","Units",,,61438.9565579748,,
"USA","United States","CPNCU","Current prices in NCU","2018","2018","USD","US Dollar","0","Units",,,63436.5891576661,,
"USA","United States","CPNCU","Current prices in NCU","2019","2019","USD","US Dollar","0","Units",,,65496.9338881876,,
"USA","United States","CPNCU","Current prices in NCU","2020","2020","USD","US Dollar","0","Units",,,70089.6482554104,,
"USA","United States","CPNCU","Current prices in NCU","2021","2021","USD","US Dollar","0","Units",,,74737.8453542402,,
"AUS","Australia","CNPNCU","2021 constant prices and NCU","1990","1990","AUD","Australian Dollar","0","Units","2021","2021",63662.9358800007,,
"AUS","Australia","CNPNCU","2021 constant prices and NCU","1991","1991","AUD","Australian Dollar","0","Units","2021","2021",63364.1771978858,,
"AUS","Australia","CNPNCU","2021 constant prices and NCU","1992","1992","AUD","Australian Dollar","0","Units","2021","2021",64631.9077784985,,
"AUS","Australia","CNPNCU","2021 constant prices and NCU","1993","1993","AUD","Australian Dollar","0","Units","2021","2021",65225.4184982272,,
"AUS","Australia","CNPNCU","2021 constant prices and NCU","1994","1994","AUD","Australian Dollar","0","Units","2021","2021",65659.4123286469,,
"AUS","Australia","CNPNCU","2021 constant prices and NCU","1995","1995","AUD","Australian Dollar","0","Units","2021","2021",65407.3861621009,,
"AUS","Australia","CNPNCU","2021 constant prices and NCU","1996","1996","AUD","Australian Dollar","0","Units","2021","2021",67281.054703155,,
"AUS","Australia","CNPNCU","2021 constant prices and NCU","1997","1997","AUD","Australian Dollar","0","Units","2021","2021",69336.8582689638,,
"AUS","Australia","CNPNCU","2021 constant prices and NCU","1998","1998","AUD","Australian Dollar","0","Units","2021","2021",70274.5420385527,,
